2025-04-26 21:27:21,955 - FPS: 5.60
2025-04-26 21:27:23,764 - FPS: 5.53
2025-04-26 21:27:25,585 - FPS: 5.49
2025-04-26 21:27:27,422 - FPS: 5.44
2025-04-26 21:27:29,154 - FPS: 5.78
2025-04-26 21:27:30,856 - FPS: 5.87
2025-04-26 21:27:32,483 - FPS: 6.15
2025-04-26 21:27:34,180 - FPS: 5.89
2025-04-26 21:27:35,952 - FPS: 5.64
2025-04-26 21:27:37,659 - FPS: 5.86
2025-04-26 21:50:55,828 - FPS: 6.24
2025-04-26 21:50:57,391 - FPS: 6.39
2025-04-26 21:50:59,399 - FPS: 4.98
2025-04-26 21:51:01,112 - FPS: 5.84
2025-04-26 21:51:02,607 - FPS: 6.69
2025-04-26 21:51:04,165 - FPS: 6.42
2025-04-26 21:51:05,721 - FPS: 6.43
2025-04-26 21:51:07,232 - FPS: 6.62
2025-04-26 21:51:08,782 - FPS: 6.45
2025-04-26 21:51:10,743 - FPS: 5.10
2025-04-26 22:04:25,381 - FPS: 5.52
2025-04-26 22:04:26,825 - FPS: 6.93
2025-04-26 22:04:28,314 - FPS: 6.71
2025-04-26 22:04:29,817 - FPS: 6.66
2025-04-26 22:04:31,358 - FPS: 6.49
2025-04-26 22:04:32,885 - FPS: 6.55
2025-04-26 22:04:34,439 - FPS: 6.43
2025-04-26 22:04:36,001 - FPS: 6.40
2025-04-26 22:04:37,499 - FPS: 6.68
2025-04-26 22:04:39,056 - FPS: 6.42
2025-04-26 22:04:40,628 - FPS: 6.36
2025-04-26 22:04:42,189 - FPS: 6.41
2025-04-26 22:04:43,768 - FPS: 6.33
2025-04-26 22:04:45,326 - FPS: 6.42
2025-04-26 22:04:46,860 - FPS: 6.52
2025-04-26 22:04:48,376 - FPS: 6.60
2025-04-26 22:04:49,860 - FPS: 6.74
2025-04-26 22:04:51,379 - FPS: 6.58
2025-04-26 22:04:52,934 - FPS: 6.43
2025-04-26 22:04:54,464 - FPS: 6.53
2025-04-26 22:04:55,998 - FPS: 6.52
2025-04-26 22:04:57,525 - FPS: 6.55
2025-04-26 22:04:59,052 - FPS: 6.55
2025-04-26 22:05:00,705 - FPS: 6.05
2025-04-26 22:05:02,591 - FPS: 5.30
2025-04-26 22:05:04,515 - FPS: 5.20
2025-04-26 22:05:06,125 - FPS: 6.21
2025-04-26 22:05:08,265 - FPS: 4.67
2025-04-26 22:05:10,124 - FPS: 5.38
2025-04-26 22:05:11,989 - FPS: 5.36
